PlotGroup,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O
NYT 3,54.5,0,16.27,0,0.35,0,0,1.2,2.95,8.32
NYT 3,53.83,0,17.74,0,0.55,0,0,0.86,2.33,8.44
NYT 2,55.22,0,17.42,0,0.16,0,0,1.5,4.01,9.02
NYT 2,55.2,0,17.31,0,0.16,0,0,1.29,3.38,9.23
NYT 2,56.06,0,18.36,0,0.24,0,0.58,2.8,2.14,7.69
NYT 2,54.25,0,17.68,0,0.23,0,0.11,2.35,2.76,9.83
NYT 2,55.7,0,16.76,0,0.28,0,0.08,1.34,3.12,10.04
NYT 2,55.8,0,16.82,0,0.5,0,0.13,1.14,3.31,8.78
NYT 2,56.21,0,17.28,0,0.18,0,0.19,1.49,3.3,9.45
NYT 2,54.82,0,18.31,0,0.27,0,0.19,2.89,2.61,8.48
NYT 2,54.42,0,17.81,0,0.37,0,0.01,2.4,2.95,9.64
NYT 2,54.79,0,18.09,0,0.31,0,0.01,2.34,2.7,9.76
NYT 2,54.37,0,17.88,0,0.14,0,0.09,2.62,2.59,9.46
NYT 1,52.84,0.15,18.48,0,0.1,0,0.01,2.55,3.11,8.78
NYT 1,53.79,0.16,18.26,0,0.15,0,0.02,2.78,2.23,9.44
NYT 1,53.19,0.12,18.16,0,0.13,0,0.03,3.31,1.62,9.66
NYT 1,53.74,0.15,17.7,0,0.17,0,0.05,3.76,0.96,9.09
NYT 1,54.95,0.09,16.6,0,0.24,0,0.1,2.29,1.55,9.71
NYT 1,52.54,0.13,18.29,0,0.09,0,0.02,2.77,2.91,8.24
TL 3,45.33,0,22.29,0,0.2,0,0,6.47,0.64,7.33
TL 3,44.82,0,22.03,0,0.2,0,0,6.52,0.5,7.77
TL 3,45.24,0,21.37,0,0.15,0,0,5.32,0.98,9.4
TL 3,44.42,0,22.18,0,0.18,0,0,6.8,0.52,7.68
Surtsey,49.7,0,24.4,0,0,0,0,7.2,3.83,3.64
Surtsey,49.2,0,23.4,0,0,0,0,6.1,3.36,5.87
Surtsey,54.1,0,22,0,0,0,0,6.2,3.27,3.18
Surtsey,53.1,0,24.3,0,0,0,0,6.7,1.31,4.61
