Sample,sSi,sTi,sAl,sCr,sFe3,sMn,sMg,sCa,sNa,sK,sTotal
05-BRI BT Pum 3,0.026784628690286524,0.020591162184400536,0.026082176055414227,0.0,0.0,0.0,0.0038605293899429275,0.01546802407328909,0.02419432829906183,0.0368935417064527,0.03380369086637818
05-BRI BT Pum 3,0.02215787460579405,0.0,0.026740294442390223,0.0,0.0,0.0,0.0042122785541516255,0.014849808382541659,0.01867190689249756,0.02947386515219821,0.027259352223474916
05-BRI BT Pum 3,0.024374180191526217,0.0,0.02660617112731471,0.0,0.016436065176266296,0.0,0.004400001010429173,0.014493935225156053,0.0249337932323916,0.037239219197482576,0.03398071179492207
05-BRI BT Pum 3,0.02283353982873589,0.0,0.02664598579246368,0.0,0.0,0.0,0.0049174740163876835,0.01609556440552536,0.021836599739786938,0.036098318886655247,0.032379398994165275
05-BRI BT Pum 3,0.021666743371868694,0.0,0.025448282258572513,0.0,0.0,0.0,0.003941468292797036,0.013547779975797411,0.026135533662299468,0.03263322859933176,0.03171529306642379
05-BRI BT Pum 3,0.021978812637289694,0.0,0.025669285127874638,0.0,0.0,0.0,0.0034657118011517897,0.010900776314115315,0.028424024469125297,0.03679992506594928,0.034797355396990984
05-BRI BT Pum 3,0.02127555865632916,0.0,0.02490522724731115,0.0,0.0,0.0,0.0,0.008298298151902757,0.028942419734104812,0.03586245782119415,0.034347896618003936
05-BRI BT Pum 3,0.021525405333650268,0.0,0.02531401828580868,0.0,0.0,0.0,0.0,0.008255527021988203,0.028594797227898136,0.03623946868323966,0.03441215457898266
05-BRI BT Pum 3,0.023243443755266747,0.0,0.024980275073157192,0.0,0.015337240538950137,0.011693596618993565,0.0,0.00911139595906005,0.0291923690433258,0.036250950406971176,0.034929775724677835
05-BRI BT Pum 3,0.019912055227126482,0.0,0.023393215527501506,0.0,0.0,0.0,0.00367022704285852,0.013049299013879695,0.020201239841149087,0.029876158196434344,0.0277035046069596
