Sample,Si,Ti,Al,Cr,Fe3,Mn,Mg,Ca,Na,K,Total
05-BRI BT Pum 3,5.809663185973355,0.03345322833908293,2.1654958488584275,0.0,0.0,0.0,0.004997327458387934,0.24966729654531997,0.4553779519630956,1.1663395962044567,9.884994435342128
05-BRI BT Pum 3,5.806540061907015,0.0,2.433829447107386,0.0,0.0,0.0,0.014634764036829085,0.22804025205985387,0.2596615781705943,0.7273398006858216,9.470045903967499
05-BRI BT Pum 3,5.781308899422885,0.0,2.258703798029141,0.0,0.016425805109967218,0.0,0.006776327407100317,0.2042485971612574,0.47816736668131715,1.149158377073103,9.894789170884772
05-BRI BT Pum 3,5.833618816316088,0.0,2.246074660990893,0.0,0.0,0.0,0.0167955685930847,0.2506982812604813,0.34857679473674125,1.0437362573190874,9.739500379216375
05-BRI BT Pum 3,5.733786338991169,0.0,2.3511282523096964,0.0,0.0,0.0,0.015774001216118216,0.20059260209517926,0.6002047871225498,0.9785318933610954,9.880017875095808
05-BRI BT Pum 3,5.718590601269574,0.0,2.3248583031758647,0.0,0.0,0.0,0.003923896594820674,0.11847884824745339,0.6834730035256977,1.2227841921838531,10.072108844997265
05-BRI BT Pum 3,5.800704662047399,0.0,2.242112721172503,0.0,0.0,0.0,0.0,0.06595237625061684,0.7405448519639919,1.1983935838276745,10.047708195262185
05-BRI BT Pum 3,5.757210684970758,0.0,2.307120071572712,0.0,0.0,0.0,0.0,0.06405071060841315,0.7103074221486254,1.2113882020333764,10.050077091333884
05-BRI BT Pum 3,5.779114163150086,0.0,2.207376188548326,0.0,0.03809297128605938,0.012319500604442157,0.0,0.07636061726974938,0.7458072589468935,1.2239683732012188,10.083039073006777
05-BRI BT Pum 3,6.017466278861686,0.0,2.0986017041249885,0.0,0.0,0.0,0.007766146982127561,0.19486776928526392,0.36290613882258527,0.8661558008209177,9.54776383889757
05-BRI BT Pum 3,5.976281933422837,0.0,2.103299375958183,0.0,0.0,0.0,0.0,0.04968911820211998,0.5858518288726235,1.099744073157241,9.814866329613006
05-BRI BT Pum 3,5.75097561316041,0.0,2.5973063512811962,0.0,0.0,0.0,0.025038809250322057,0.21125777220087283,0.26066594475679566,0.4709193858555925,9.316163876505188
05-BRI BT Pum1,5.729386638527994,0.0,2.30622994770852,0.0,0.0,0.0,0.0,0.06658746745379465,0.7730072811591925,1.2575813866956829,10.132792721545185
05-BRI BT Pum1,5.73960784702417,0.0,2.3115444958123033,0.0,0.0,0.0,0.0,0.07986192828422913,0.7108530249932694,1.2363582429046802,10.078225539018653
05-BRI BT Pum1,5.771898050748462,0.0,2.2843870014406753,0.0,0.0,0.0,0.007595308285691019,0.06805770929245313,0.7705408014823482,1.1373999560454824,10.039878827295112
05-BRI BT Pum1,5.745879056452176,0.0,2.312203757832119,0.0,0.0,0.0,0.0,0.06092523208211156,0.734427226709957,1.2235948098207559,10.077030082897119
05-BRI BT Pum1,5.699874345802595,0.0,2.320170430360873,0.0,0.0,0.0,0.0,0.10374072891315539,0.8264184282443626,1.2060914396363214,10.156295372957308
05-BRI BT vitmat5,5.875198536209361,0.0,2.1759248086706346,0.0,0.0,0.011792317173715913,0.0,0.027275649764915862,0.6437068584321989,1.2495886368411924,9.983486807092017
05-BRI BT vitmat5,5.929545079615798,0.0,2.1527606090888427,0.0,0.0,0.0,0.0,0.03676815501924936,0.7774263042730977,0.9725752399586811,9.869075387955668
05-BRI BT vitmat5,5.784840374924592,0.0,2.2382436308098694,0.0,0.01792438829533927,0.0,0.0,0.042989654779532385,0.7163170188552932,1.289838114571642,10.090153182236268
NYT 2 Phil 1,5.317528233672139,0.0,2.6255645256645668,0.0,0.0,0.0,0.0,0.8330608845170782,0.16620821369750174,1.0208635055860869,9.963225363137372
NYT 2 Phil 1,5.335681454543552,0.0,2.6356540980988843,0.0,0.016602653005074488,0.0,0.0,0.8215495441540352,0.15204883962613316,0.905356000579712,9.86689259000739
NYT 2 Phil 2,5.348233759477674,0.0,2.606308896252115,0.0,0.0,0.0,0.05260469840939018,1.0950405783191735,0.1825300109885801,0.3103177088872484,9.59503565233418
NYT 2 Phil 3,5.192698125126513,0.0,2.7953770380987835,0.0,0.0,0.0,0.0,0.8729878541552786,0.11096014887047612,0.9861405280165683,9.958163694267618
NYT 2 Phil 3,5.156183527363073,0.0,2.8180704571178996,0.0,0.0,0.0,0.0,0.8951971320767793,0.1083086975649969,1.0223515574754618,10.00011137159821
GRAULA9 TL1,5.303198261388662,0.0,2.7084777969361777,0.0,0.0,0.0,0.0,0.5958449117492912,0.3206189320534516,1.1494648080847778,10.07760471021236
