PlotGroup,Si,Ti,Al,Cr,Fe3,Mn,Mg,Ca,Na,K,Total
BT Pumice,5.809663186,0.033453228,2.165495849,0,0,0,0.004997327,0.249667297,0.455377952,1.166339596,9.884994435
BT Pumice,5.806540062,0,2.433829447,0,0,0,0.014634764,0.228040252,0.259661578,0.727339801,9.470045904
BT Pumice,5.781308899,0,2.258703798,0,0.016425805,0,0.006776327,0.204248597,0.478167367,1.149158377,9.894789171
BT Pumice,5.833618816,0,2.246074661,0,0,0,0.016795569,0.250698281,0.348576795,1.043736257,9.739500379
BT Pumice,5.733786339,0,2.351128252,0,0,0,0.015774001,0.200592602,0.600204787,0.978531893,9.880017875
BT Pumice,5.718590601,0,2.324858303,0,0,0,0.003923897,0.118478848,0.683473004,1.222784192,10.07210884
BT Pumice,5.800704662,0,2.242112721,0,0,0,0,0.065952376,0.740544852,1.198393584,10.0477082
BT Pumice,5.757210685,0,2.307120072,0,0,0,0,0.064050711,0.710307422,1.211388202,10.05007709
BT Pumice,5.779114163,0,2.207376189,0,0.038092971,0.012319501,0,0.076360617,0.745807259,1.223968373,10.08303907
BT Pumice,6.017466279,0,2.098601704,0,0,0,0.007766147,0.194867769,0.362906139,0.866155801,9.547763839
BT Pumice,5.976281933,0,2.103299376,0,0,0,0,0.049689118,0.585851829,1.099744073,9.81486633
BT Pumice,5.750975613,0,2.597306351,0,0,0,0.025038809,0.211257772,0.260665945,0.470919386,9.316163877
BT Pumice,5.729386639,0,2.306229948,0,0,0,0,0.066587467,0.773007281,1.257581387,10.13279272
BT Pumice,5.739607847,0,2.311544496,0,0,0,0,0.079861928,0.710853025,1.236358243,10.07822554
BT Pumice,5.771898051,0,2.284387001,0,0,0,0.007595308,0.068057709,0.770540801,1.137399956,10.03987883
BT Pumice,5.745879056,0,2.312203758,0,0,0,0,0.060925232,0.734427227,1.22359481,10.07703008
BT Pumice,5.699874346,0,2.32017043,0,0,0,0,0.103740729,0.826418428,1.20609144,10.15629537
BT Vitric Matrix,5.875198536,0,2.175924809,0,0,0.011792317,0,0.02727565,0.643706858,1.249588637,9.983486807
BT Vitric Matrix,5.92954508,0,2.152760609,0,0,0,0,0.036768155,0.777426304,0.97257524,9.869075388
BT Vitric Matrix,5.784840375,0,2.238243631,0,0.017924388,0,0,0.042989655,0.716317019,1.289838115,10.09015318
NYT This study,5.317528234,0,2.625564526,0,0,0,0,0.833060885,0.166208214,1.020863506,9.963225363
NYT This study,5.335681455,0,2.635654098,0,0.016602653,0,0,0.821549544,0.15204884,0.905356001,9.86689259
NYT This study,5.348233759,0,2.606308896,0,0,0,0.052604698,1.095040578,0.182530011,0.310317709,9.595035652
NYT This study,5.192698125,0,2.795377038,0,0,0,0,0.872987854,0.110960149,0.986140528,9.958163694
NYT This study,5.156183527,0,2.818070457,0,0,0,0,0.895197132,0.108308698,1.022351557,10.00011137
TL Trajans Markets,5.303198261,0,2.708477797,0,0,0,0,0.595844912,0.320618932,1.149464808,10.07760471
TL Trajans Markets,5.396079207,0,2.613130456,0,0,0,0.03494189,0.491596905,0.300136415,1.223077802,10.05896267
TL Trajans Markets,5.190183882,0,2.610688374,0,0.025569929,0,0.005639472,0.558634546,0.32549948,1.876442043,10.59265773
TL Trajans Markets,5.062690788,0,2.985196926,0,0.019551697,0,0.005318223,0.665993702,0.204381989,1.187985143,10.13111847
TL Trajans Markets,5.38093285,0,2.705763264,0,0,0,0,0.734358059,0.129307489,0.760955199,9.711316861
PCO Portus Cosanus Cmatrix,4.668637784,0,3.373254899,0,0,0,0,0.834847956,0.438697792,1.097290465,10.4127289
PCO Portus Cosanus Cmatrix,4.624759829,0,3.419174286,0,0,0,0,0.809922401,0.505290946,1.118302079,10.47744954
PCO Portus Cosanus Cmatrix,4.80352115,0,3.220512575,0,0,0,0,0.731500699,0.486574861,1.174801417,10.4169107
PCO Portus Cosanus Cmatrix,4.816981041,0.023749809,3.245148878,0,0,0,0,0.700063128,0.444789034,1.056714675,10.28744657
PCO Portus Cosanus Cmatrix,4.806441114,0,3.155067468,0,0,0,0,0.724017807,0.669622667,1.191374859,10.54652391
PCO Portus Cosanus Cmatrix,4.781500843,0,3.242650865,0,0,0,0,0.732307187,0.493251534,1.188178123,10.43788855
PCO Portus Cosanus Cmatrix,4.873875875,0,3.134310317,0,0,0.017807911,0,0.729687641,0.540727109,1.065847338,10.36225619
PCO Portus Cosanus Void,4.122768991,0,3.824775049,0,0,0,0,0.957708597,0.688970438,1.430211257,11.02443433
PCO Portus Cosanus Void,4.543517871,0,3.410337974,0,0,0,0,0.757494071,0.787380012,1.292546442,10.79127637
PCO Portus Cosanus Void,4.769944996,0,3.225579748,0,0.015255795,0,0,0.561515498,0.817751453,1.256930938,10.64697843
PCO Portus Cosanus Void,4.710960589,0,3.265306272,0,0,0,0,0.738403464,0.615088587,1.268343313,10.59810223
PCO Portus Cosanus Void,4.621850089,0,3.401569861,0,0,0,0,0.781274829,0.56318536,1.182155045,10.55003518
PCO Portus Cosanus Void,4.549018543,0,3.425405303,0,0,0,0,0.70700479,0.731393511,1.38230683,10.79512898
PCO Portus Cosanus Void,4.760693075,0,3.21922067,0,0,0,0,0.713546422,0.634584149,1.237888696,10.56593301
ANZ Pumice A,5.649857753,0,2.431825543,0,0.025641059,0,0.027642518,0.139918041,0.770314368,0.922733695,9.967932977
ANZ Pumice A,5.632209055,0,2.389406422,0,0,0,0.004812324,0.111891557,1.009728531,1.059808222,10.20785611
ANZ Pumice A,5.468936831,0,2.425419294,0,0,0,0,0.114828314,1.402936238,1.215401928,10.6275226
ANZ Pumice A,5.75034334,0,2.435112179,0,0.022893481,0,0,0.120247332,0.505906387,0.878208606,9.712711326
ANZ Pumice B,5.767835028,0,2.188236066,0,0.028780394,0,0,0.137682226,0.878088891,1.124157165,10.12477977
ANZ Pumice B,5.917098817,0,2.098179751,0,0.026181354,0.015897858,0.005023259,0.105000067,0.75867226,0.948006788,9.874060155
ANZ Pumice B,5.745871429,0,2.24734328,0,0.025622233,0,0,0.103602999,0.947478381,1.042933365,10.11285169
ANZ Pumice B,4.855703066,0,3.313185428,0,0,0,0.008318904,0.44599434,0.923666796,0.805338165,10.3522067
ANZ Pumice B,4.91549305,0.086962675,3.136538214,0,0,0,0.008375777,0.401817259,0.92913896,0.831037429,10.30936336
ANZ Pumice B,5.722602056,0,2.327777982,0,0.031978545,0,0.004418116,0.087893736,0.811080423,1.034618069,10.02036893
ANZ Pumice B,5.211927804,0,2.92526906,0,0,0,0.009605408,0.301290688,0.919215676,0.835473738,10.20278237
ANZ Pumice B,5.757072806,0,2.28320467,0,0,0,0,0.098019564,0.902567521,1.023488116,10.06435268
ANZ Pumice B,5.785505871,0,2.260518988,0,0.027862835,0,0,0.134918162,0.736400972,0.986593751,9.931800579
ANZ Pumice B,5.605619166,0,2.395555538,0,0,0,0.005141426,0.158070435,0.983903533,1.080529466,10.22881956
ANZ Pumice B,5.409590258,0,2.483700584,0,0,0,0,0.125744746,1.540938341,1.118109386,10.67808331
ANZ Pumice B,5.374891189,0,2.726033212,0,0.045707943,0.025615971,0.005053114,0.172287158,0.693455076,1.085844217,10.12888788
ANZ Tuff Clast,5.68570114,0,2.284540692,0,0.071059902,0,0,0.152060564,0.85242577,1.033846758,10.07963483
ANZ Tuff Clast,5.757877551,0,2.293264826,0,0.046479681,0,0,0.12268067,0.643921908,1.059973026,9.924197663
ANZ Tuff Clast,5.817948947,0,2.301341345,0,0.051231572,0,0,0.120806446,0.463118605,0.965753963,9.720200879
ANZ Tuff Clast,5.84401161,0,2.216208664,0,0.02453015,0,0,0.148254215,0.67085383,0.934374858,9.838233327
ANZ Tuff Clast,5.748254717,0.049812854,2.343274,0,0.045084897,0,0,0.151782221,0.507150388,0.831938194,9.677297271
ANZ Tuff Clast,5.727337536,0.029685091,2.310246124,0,0.032557863,0,0.011002096,0.151176834,0.689109116,0.930030556,9.881145216
ANZ Tuff Clast,5.754410017,0,2.378271958,0,0.040577748,0,0,0.133726258,0.544280849,0.914077448,9.765344278
ANZ Tuff Clast,5.753157536,0.024758079,2.386538411,0,0.023851969,0,0.006006281,0.165710591,0.337361007,0.976371648,9.673755523
PTR Portus Traianus Void,5.183718843,0,2.842822766,0,0.020287123,0,0.010477701,0.579084534,0.444975609,1.051694883,10.13306146
PTR Portus Traianus Void,5.553256693,0,2.390367424,0,0.031526825,0,0.035633979,0.561358923,0.238865862,1.088438813,9.89944852
PTR Portus Traianus Void,5.361829056,0,2.819121941,0,0,0,0.027588478,0.461064357,0.254146157,0.863866125,9.787616115
PTR Portus Traianus Void,5.116587541,0,2.88006446,0,0.026005174,0,0.005545328,0.483325075,0.586647248,1.251052883,10.34922771
PTR Portus Traianus Void,5.21704545,0,2.872994512,0,0,0.016264751,0.00393261,0.458619416,0.42008626,1.135114848,10.12405785
PTR Portus Traianus Void,5.446846624,0,2.617048866,0,0,0,0.028522963,0.265103452,0.679405242,1.094808834,10.13173598
PTR Portus Traianus Void,5.211141593,0,2.730929726,0,0,0,0.021046326,0.436887435,0.707159027,1.339617898,10.44678201
Bai Pumlime,4.801372166,0,3.304842574,0,0.020136838,0,0.004346625,0.469610465,1.33670995,0.534948974,10.47196759
Bai Pumlime,5.242148951,0,3.011381556,0,0.027326398,0,0,0.236647317,0.705429005,0.736556696,9.959489923
Bai Area Y,4.438977219,0,3.65910685,0,0,0,0,1.282168226,0.300653234,0.401780886,10.08268642
