Sample,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O
05-BRI BT Pum 3,0.471913448,0.267370654,0.222727326,0,0,0,0.025192413,0.141683916,0.121984687,0.284337028
05-BRI BT Pum 3,0.473192753,0,0.234871969,0,0,0,0.027484218,0.135959512,0.09397127,0.226639149
05-BRI BT Pum 3,0.463960026,0,0.223791183,0,0.206005731,0,0.027802945,0.128414213,0.121824146,0.278459339
05-BRI BT Pum 3,0.457444196,0,0.219329696,0,0,0,0.030182168,0.138739574,0.103473802,0.26208242
05-BRI BT Pum 3,0.486672301,0,0.240318965,0,0,0,0.027648289,0.133218842,0.141976142,0.270566998
05-BRI BT Pum 3,0.483492751,0,0.237816601,0,0,0,0.023847147,0.104862251,0.151718879,0.300309944
05-BRI BT Pum 3,0.491121908,0,0.236128938,0,0,0,0,0.08167685,0.158485368,0.299960183
05-BRI BT Pum 3,0.491700054,0,0.239967818,0,0,0,0,0.081127016,0.156298155,0.302708851
05-BRI BT Pum 3,0.493401858,0,0.236272158,0,0.216772361,0.146445441,0,0.090427457,0.161023726,0.305273087
05-BRI BT Pum 3,0.510903004,0,0.233497861,0,0,0,0.027438733,0.136768756,0.116664121,0.263726372
05-BRI BT Pum 3,0.477895897,0,0.219462942,0,0,0,0,0.076611005,0.136622462,0.277402959
05-BRI BT Pum 3,0.484365022,0,0.248925176,0,0,0,0.031329867,0.135975007,0.094523335,0.189651405
05-BRI BT Pum1,0.491888776,0,0.241196054,0,0,0,0,0.082563139,0.163582611,0.309384278
05-BRI BT Pum1,0.495576213,0,0.24274787,0,0,0,0,0.093196443,0.157645413,0.309168383
05-BRI BT Pum1,0.490565723,0,0.238345519,0,0,0,0.02645967,0.086349859,0.160999608,0.292942279
05-BRI BT Pum1,0.492121575,0,0.240597444,0,0,0,0,0.083297194,0.158574531,0.305125731
05-BRI BT Pum1,0.485056492,0,0.239400509,0,0,0,0,0.100439135,0.166667207,0.299779401
05-BRI BT vitmat5,0.473598903,0,0.223517368,0,0,0.139181059,0,0.062540492,0.143329224,0.295678423
05-BRI BT vitmat5,0.510547056,0,0.238359443,0,0,0,0,0.071501783,0.167102174,0.279377253
05-BRI BT vitmat5,0.485301373,0,0.232984955,0,0.191741104,0,0,0.073216411,0.153329109,0.308017676
NYT 2 Phil 1,0.436422169,0,0.227723406,0,0,0,0,0.242897684,0.074902859,0.255483247
NYT 2 Phil 1,0.447613713,0,0.233294937,0,0.197668542,0,0,0.246902296,0.074112027,0.247256411
NYT 2 Phil 2,0.428720655,0,0.222569652,0,0,0,0.037656103,0.270119464,0.076029353,0.140054216
NYT 2 Phil 3,0.443587939,0,0.240963139,0,0,0,0,0.254231935,0.065127083,0.257847283
NYT 2 Phil 3,0.433842217,0,0.237195781,0,0,0,0,0.252717669,0.064166918,0.256166177
GRAULA9 TL1,0.430574893,0,0.227517696,0,0,0,0,0.204608882,0.097126726,0.266792716
GRAULA9 TL1,0.434772776,0,0.223674639,0,0,0,0.034195091,0.186096017,0.096223095,0.275773324
GRAULA9 TL1,0.411372648,0,0.214226183,0,0.212701041,0,0.023592325,0.189623233,0.097994002,0.32441392
GRAULA9 TL2,0.419651059,0,0.236629492,0,0.207201014,0,0.024619681,0.213009102,0.080614883,0.269211771
GRAULA9 TL2,0.432313591,0,0.227032858,0,0,0,0,0.224731972,0.066655203,0.218796817
PCO 4,0.393492419,0,0.25779803,0,0,0,0,0.234613353,0.112839175,0.258714289
PCO 4,0.404518917,0,0.268788039,0,0,0,0,0.23936994,0.123597368,0.270963736
PCO 4,0.409733068,0,0.260145868,0,0,0,0,0.228540539,0.122172633,0.276428849
PCO 4,0.406223622,0.283401604,0.257967684,0,0,0,0,0.219964421,0.115677993,0.258663585
PCO 4,0.413490938,0,0.260598025,0,0,0,0,0.228764705,0.142880838,0.280970548
PCO 4,0.399794595,0,0.254204333,0,0,0,0,0.222120032,0.120607649,0.271165012
