Sample,Si,Ti,Al,Cr,Fe3,Mn,Mg,Ca,Na,K,Total
Bai LL Clast 1,4.939777180344184,0.0,0.9656573300586003,0.0,0.0,0.0,0.0220433414144536,4.5542022907135,0.09555196934521676,0.09587605484633985,10.673108166722294
Bai LL Clast 3,4.906905172180841,0.0,0.9348976739180253,0.0,0.0,0.0,0.03433520777612009,4.476930952262017,0.377045908632536,0.16810806081374957,10.89822297558329
Bai Pumlime 2,5.178351598934366,0.0,0.9184253063271649,0.0,0.0,0.0,0.0033971327700549146,4.164746661559584,0.07730970913459918,0.11772038748715773,10.459950796212926
Bai Pumlime 4,5.276895483509491,0.0,0.7950058394358055,0.0,0.0,0.0,0.0,4.0961310104171895,0.18068590708020937,0.13445261974003903,10.483170860182733
Bai Pumlime 7,4.863234301984034,0.0,1.0144345267740817,0.0,0.020270894001572837,0.0,0.049724409571600105,4.461098820927097,0.30839082025367986,0.11290924848583078,10.830063021997896
Bai Pumlime 8,4.978922820609877,0.0,0.8180599457385801,0.0,0.0,0.0,0.05211504940219393,4.464661075155575,0.5010244705873346,0.0955521606418751,10.910335522135435
Bai Area Y' 12S,5.007426563381822,0.0,0.8292025579892215,0.0,0.0,0.0,0.00574243534888299,4.415469947916965,0.4928599400115836,0.14740136596177356,10.898102810610249
ANZ1 Tuff Clast 1,5.3165013924468685,0.0,0.9724289310044866,0.0,0.0,0.0,0.008965996083059403,3.7318496564142767,0.16323378477128475,0.17184254743310792,10.364822308153084
ANZ1 Tuff Clast 1,5.476699776975537,0.0,1.0071542257316597,0.0,0.022642779905344784,0.0,0.028711269662209493,3.3321302252676066,0.1470132352076954,0.13511365011950605,10.14946516286956
ANZ1 Tuff Clast 1,5.476739176985166,0.0,1.0302643404087546,0.0,0.022558657705390575,0.0,0.02502902664299429,3.10520027901916,0.432426538308571,0.24168914808401853,10.333907167154056
ANZ1 Tuff Clast 1,5.6057331191329896,0.0,1.0232079198342428,0.0,0.030179851716897986,0.0,0.04044908479617688,2.9711907474874537,0.18295922861915379,0.21066531562820076,10.064385267215117
ANZ1 Tuff Clast 1,5.370253263745862,0.0,0.9482832619468745,0.0,0.02578345287253043,0.0,0.008807563081232109,3.605145392691035,0.20158206977271084,0.16729881924108528,10.32715382335133
ANZ-2 pumice 4,5.467263055210435,0.0,0.6175431055738774,0.0,0.0,0.0,0.0,3.949308381543998,0.322052851323064,0.057648848025565885,10.413816241676942
ANZ-2 pumice 4,5.293484282120208,0.028570079093649864,0.6209497112974872,0.0,0.0,0.0,0.0,4.0996972285653825,0.5463790828885204,0.10315988123282623,10.692240265198077
ANZ-2 pumice 4,5.37604951365299,0.0,0.6307270604776015,0.0,0.0,0.0,0.0,4.088473910726269,0.3528691540292979,0.07380378847339902,10.521923427359559
