PlotGroup,Si,Ti,Al,Cr,Fe3,Mn,Mg,Ca,Na,K,Total
Bai LL Clast,4.94,0,0.966,0,0,0,0.022,4.554,0.096,0.096,10.673
Bai LL Clast,4.907,0,0.935,0,0,0,0.034,4.477,0.377,0.168,10.898
Bai Pumlime,5.178,0,0.918,0,0,0,0.003,4.165,0.077,0.118,10.46
Bai Pumlime,5.277,0,0.795,0,0,0,0,4.096,0.181,0.134,10.483
Bai Pumlime,4.863,0,1.014,0,0.02,0,0.05,4.461,0.308,0.113,10.83
Bai Pumlime,4.979,0,0.818,0,0,0,0.052,4.465,0.501,0.096,10.91
Bai Y 17S Void,5.007,0,0.829,0,0,0,0.006,4.415,0.493,0.147,10.898
ANZ1 Tuff Clast 1,5.317,0,0.972,0,0,0,0.009,3.732,0.163,0.172,10.365
ANZ1 Tuff Clast 1,5.477,0,1.007,0,0.023,0,0.029,3.332,0.147,0.135,10.149
ANZ1 Tuff Clast 1,5.477,0,1.03,0,0.023,0,0.025,3.105,0.432,0.242,10.334
ANZ1 Tuff Clast 1,5.606,0,1.023,0,0.03,0,0.04,2.971,0.183,0.211,10.064
ANZ1 Tuff Clast 1,5.37,0,0.948,0,0.026,0,0.009,3.605,0.202,0.167,10.327
ANZ-2 pumice 4,5.467,0,0.618,0,0,0,0,3.949,0.322,0.058,10.414
ANZ-2 pumice 4,5.293,0.029,0.621,0,0,0,0,4.1,0.546,0.103,10.692
ANZ-2 pumice 4,5.376,0,0.631,0,0,0,0,4.088,0.353,0.074,10.522
BAI.06.03,4.799,0,1.039,0,0,0,0.033,4.644,0.171,0.161,10.847
BAI.06.03,4.852,0,1.007,0,0,0,0.038,4.605,0.133,0.151,10.787
BAI.06.03,4.797,0,1.031,0,0,0,0.012,4.625,0.282,0.164,10.911
BAI.06.03,4.797,0,1.045,0,0,0,0.065,4.512,0.345,0.179,10.943
BAI.06.03,4.783,0,1.025,0,0,0,0.044,4.566,0.39,0.186,10.993
BAI.06.03,4.836,0,0.99,0,0,0,0.127,4.552,0.179,0.149,10.833
BAI.06.03,4.795,0,1.029,0,0,0,0.031,4.586,0.339,0.161,10.941
BAI.06.03,4.805,0,1.036,0,0.022,0,0.017,4.457,0.513,0.143,10.994
BAI.06.03,4.859,0,1.003,0,0,0,0.008,4.491,0.43,0.128,10.919
ANZ.02.01 E,4.76,0,1.099,0,0,0,0.316,4.259,0.398,0.113,10.946
ANZ.02.01 E,4.75,0,1.136,0,0,0,0.308,4.131,0.579,0.139,11.041
BI3A,4.8,0,1.04,0,0,0,0.033,4.644,0.171,0.161,10.847
BI3A,4.85,0,1.01,0,0,0,0.038,4.605,0.133,0.151,10.787
BI3A,4.8,0,1.03,0,0,0,0.012,4.625,0.282,0.164,10.911
BI3A,4.8,0,1.05,0,0,0,0.065,4.512,0.345,0.179,10.943
BI3A,4.78,0,1.02,0,0,0,0.044,4.566,0.39,0.186,10.993
BI3A,4.84,0,0.99,0,0,0,0.127,4.552,0.179,0.149,10.833
BI3A,4.8,0,1.03,0,0,0,0.031,4.586,0.339,0.161,10.941
BI3A,4.81,0,1.04,0,0.022,0,0.017,4.457,0.513,0.143,10.994
BI3A,4.86,0,1,0,0,0,0.008,4.491,0.43,0.128,10.919
ANZ1,4.76,0,1.1,0,0,0,0.316,4.259,0.398,0.113,10.946
ANZ1,4.75,0,1.14,0,0,0,0.308,4.131,0.579,0.139,11.041
