Sample,Location,PlotGroup,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Total,Si,Ti,Al,Cr,Fe3,Fe2,Mn,Mg,Ca,Na,K,Sum
Crestmore,Crestmore California,Crestmore,43.34,0,0.39,0,0,0,0,0,34.64,0.05,0.32,78.74,5.559,0,0.059,0,0,0,0,0,4.761,0.012,0.052,10.444
Crestmore,Crestmore California,Crestmore,43.17,0,0.1,0,0.02,0,0,0.05,36.43,0,0,79.77,5.497,0,0.015,0,0.003,0,0,0.009,4.97,0,0,10.494
Fuka 1,Fuka Japan,Fuka,46.55,0.01,0.36,0,0.01,0,0.06,0.11,39.04,0.02,0.1,86.26,5.481,0.001,0.05,0,0.001,0,0.006,0.019,4.925,0.005,0.015,10.503
Fuka2,Fuka Japan,Fuka,48.98,0.03,1.03,0,0.03,0,0.03,0.04,37.9,0.01,0.02,88.07,5.574,0.003,0.138,0,0.004,0,0.003,0.007,4.621,0.002,0.003,10.355
Fuka3,Fuka Japan,Fuka,46.7,0,2.2,0,0,0,0,0,37.3,0.1,0.1,86.4,5.438,0,0.302,0,0,0,0,0,4.653,0.023,0.015,10.43
Fuka6,Fuka Japan,Fuka,45.12,0,3.31,0,0.23,0,0,0.04,35.24,0.24,0.23,84.41,5.36,0,0.463,0,0.032,0,0,0.007,4.485,0.055,0.035,10.438
LochArnoth9,Loch Arnoth Scotland,Loch Arnoth,46.17,0,4.26,0,0.15,0,0,0,35.15,0.56,0.25,86.54,5.334,0,0.58,0,0.02,0,0,0,4.351,0.125,0.037,10.447
Puyuhuapi2,Puyuhuapi Chile,Puyuhuapi,50.45,0.01,3.16,0,0.92,0,0.03,0.49,32.01,0.49,0.24,87.8,5.614,0.001,0.414,0,0.119,0,0.003,0.081,3.817,0.106,0.034,10.188
Puyuhuapi3,Puyuhuapi Chile,Puyuhuapi,51.46,0.06,3.72,0,0.85,0,0.03,0.5,32.09,0.55,0.32,89.58,5.603,0.005,0.477,0,0.107,0,0.003,0.081,3.743,0.116,0.044,10.18
Puyuhuapi4,Puyuhuapi Chile,Puyuhuapi,49.52,0.09,3.87,0,1.27,0,0.01,0.74,30.67,0.69,0.41,87.27,5.536,0.008,0.51,0,0.165,0,0.001,0.123,3.673,0.15,0.058,10.223
Puyuhuapi5,Puyuhuapi Chile,Puyuhuapi,50.41,0.05,3.59,0,1.29,0,0.03,0.74,32.82,0.45,0.38,89.76,5.507,0.004,0.462,0,0.163,0,0.003,0.121,3.842,0.095,0.053,10.25
Puyuhuapi6,Puyuhuapi Chile,Puyuhuapi,51.5,0.17,4.38,0,1.34,0,0,0.85,30.62,0.74,0.39,89.99,5.554,0.014,0.557,0,0.168,0,0,0.137,3.538,0.155,0.054,10.175
Skye8,Skye Scotland,Skye,48.08,0,3.96,0,0.01,0,0,0.03,35.24,0.03,0.03,87.38,5.455,0,0.53,0,0.001,0,0,0.005,4.284,0.007,0.004,10.285
Skye9,Skye Scotland,Skye,46.88,0,4.04,0,0.01,0,0,0.03,34.6,0.02,0.03,85.61,5.432,0,0.552,0,0.001,0,0,0.005,4.296,0.004,0.004,10.295
Skye10,Skye Scotland,Skye,46.33,0,4.2,0,0,0,0,0.03,35.03,0.04,0.02,85.65,5.383,0,0.575,0,0,0,0,0.005,4.361,0.009,0.003,10.336
Surtsey 1,Surtsey Iceland,Surtsey,45.2,0,5.6,0,0,0,0,0,32.2,1.17,0.5,84.67,5.308,0,0.775,0,0,0,0,0,4.051,0.266,0.075,10.475
Surtsey 2,Surtsey Iceland,Surtsey,43.8,0,6.3,0,0,0,0,0,32,1.44,0.54,84.08,5.2,0,0.882,0,0,0,0,0,4.071,0.331,0.082,10.566
Surtsey 3,Surtsey Iceland,Surtsey,44,0,5,0,0,0,0,0,34.3,0.84,0.46,84.6,5.227,0,0.7,0,0,0,0,0,4.365,0.193,0.07,10.555
Surtsey 4,Surtsey Iceland,Surtsey,42.5,0,3.3,0,0,0,0,0,32.5,0.41,1.11,79.82,5.364,0,0.491,0,0,0,0,0,4.395,0.1,0.179,10.53
Tobermory7,Tobermory Scotland,Tobermory,46.51,0,2.4,0,2.88,0,0,0.47,33.4,0.36,1.45,87.47,5.314,0,0.323,0,0.382,0,0,0.08,4.089,0.08,0.211,10.479
Tobermory8,Tobermory Scotland,Tobermory,46.62,0,3.9,0,1.68,0,0,0,33.98,0.89,0.57,87.64,5.302,0,0.523,0,0.222,0,0,0,4.14,0.196,0.083,10.465
Wessels Mine,Wessles Mine South Africa,Wessels,47.44,0,0,0,0,0,0,0,36.53,0,0,83.97,5.664,0,0,0,0,0,0,0,4.673,0,0,10.336
