Sample,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O
Bai LL Clast 1,0.18,0.00,0.07,0.00,0.00,0.00,0.01,0.25,0.03,0.04
Bai LL Clast 3,0.18,0.00,0.06,0.00,0.00,0.00,0.02,0.25,0.05,0.05
Bai Pumlime 2,0.19,0.00,0.07,0.00,0.00,0.00,0.01,0.25,0.03,0.04
Bai Pumlime 4,0.20,0.00,0.06,0.00,0.00,0.00,0.00,0.25,0.04,0.05
Bai Pumlime 7,0.18,0.00,0.19,0.00,0.16,0.00,0.15,0.33,0.08,0.06
Bai Pumlime 8,0.19,0.00,0.06,0.00,0.00,0.00,0.02,0.25,0.08,0.03
Bai Area Y' 12S,0.18,0.00,0.06,0.00,0.00,0.00,0.01,0.24,0.06,0.04
ANZ1 Tuff Clast 1,0.20,0.00,0.07,0.00,0.00,0.00,0.01,0.24,0.04,0.05
ANZ1 Tuff Clast 1,0.21,0.00,0.07,0.00,0.11,0.00,0.02,0.23,0.04,0.05
ANZ1 Tuff Clast 1,0.21,0.00,0.07,0.00,0.11,0.00,0.02,0.22,0.06,0.06
ANZ1 Tuff Clast 1,0.21,0.00,0.07,0.00,0.11,0.00,0.02,0.21,0.04,0.06
ANZ1 Tuff Clast 1,0.20,0.00,0.07,0.00,0.10,0.00,0.01,0.23,0.04,0.05
ANZ-2 pumice 4,0.20,0.00,0.06,0.00,0.00,0.00,0.00,0.24,0.05,0.03
ANZ-2 pumice 4,0.20,0.14,0.06,0.00,0.00,0.00,0.00,0.25,0.06,0.04
ANZ-2 pumice 4,0.20,0.00,0.06,0.00,0.00,0.00,0.00,0.25,0.05,0.04
