Sample,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O
Bai LL Clast 1,40.09,0.00,6.65,0.00,0.00,0.00,0.12,34.50,0.40,0.61
Bai LL Clast 3,38.35,0.00,6.20,0.00,0.00,0.00,0.18,32.66,1.52,1.03
Bai Pumlime 2,45.45,0.00,6.84,0.00,0.00,0.00,0.02,34.12,0.35,0.81
Bai Pumlime 4,47.56,0.00,6.08,0.00,0.00,0.00,0.00,34.46,0.84,0.95
Bai Pumlime 7,37.91,0.00,6.71,0.00,0.21,0.00,0.26,32.46,1.24,0.69
Bai Pumlime 8,39.88,0.00,5.56,0.00,0.00,0.00,0.28,33.38,2.07,0.60
Bai Area Y' 12S,39.00,0.00,5.48,0.00,0.00,0.00,0.03,32.10,1.98,0.90
ANZ1 Tuff Clast 1,44.20,0.00,6.86,0.00,0.00,0.00,0.05,28.96,0.70,1.12
ANZ1 Tuff Clast 1,45.50,0.00,7.10,0.00,0.25,0.00,0.16,25.84,0.63,0.88
ANZ1 Tuff Clast 1,45.67,0.00,7.29,0.00,0.25,0.00,0.14,24.17,1.86,1.58
ANZ1 Tuff Clast 1,47.52,0.00,7.36,0.00,0.34,0.00,0.23,23.51,0.80,1.40
ANZ1 Tuff Clast 1,45.45,0.00,6.81,0.00,0.29,0.00,0.05,28.48,0.88,1.11
ANZ-2 pumice 4,44.76,0.00,4.29,0.00,0.00,0.00,0.00,30.18,1.36,0.37
ANZ-2 pumice 4,43.20,0.31,4.30,0.00,0.00,0.00,0.00,31.23,2.30,0.66
ANZ-2 pumice 4,44.60,0.00,4.44,0.00,0.00,0.00,0.00,31.66,1.51,0.48
